house_id,total_gas_usage,Block,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
f2488be8,0.0,18,1164,0
af700985,0.0,34,1208,0
78cb017d,0.0,34,1208,0
79fd05b9,0.0,30,1210,0
97783ea5,0.0,30,1017,0
aeda556c,0.0,30,1189,0
e57cbdc1,0.0,30,1169,0
80b98585,0.0,19,1218,0
6c18632d,0.0,28,851,0
ff4c0dc7,0.0,28,1145,0
1f079e5b,0.0,29,1196,0
cf1ba50b,0.0,19,1158,0
1e004963,0.0,19,1143,0
144ab672,0.0,28,1053,0
8ebb529a,0.0,11,1238,0
09c265bf,0.0,18,893,0
c9265b4c,0.0,18,1091,0
3d155519,0.0,18,1003,0
9b421dd0,0.0,31,1328,3559
9b421dd0,0.0,31,0,0
4856ed71,0.0,27,1258,0
ff9dcc9f,0.0,7,0,0
faa2bda7,0.0,19,859,0
f3ecb33a,0.0,19,1110,0
2c269920,0.0,28,1114,0
be2fb35d,0.0,28,948,0
2095103e,0.0,28,1131,0
5aab5bec,0.0,28,1181,0
0f821f86,0.0,19,1237,0
7b5a3dbf,0.0,19,1207,0
e14ffd02,0.0,18,1114,0
fd2bd2a1,0.0,22,0,0
71527d20,0.0,14,0,0
b2ebb817,0.0,14,0,0
bfe3a01f,0.0,22,0,0
9f1d1820,0.0,22,0,0
821521e3,0.0,22,1359,0
452dddce,0.0,14,1308,0
b67f88dd,0.0,14,0,0
0bfa4012,0.0,14,0,0
036d9063,0.0,14,1308,0
030827a1,0.0,27,1217,0
a96912eb,0.0,27,1130,0
e047949b,0.0,23,0,0
4c2b0354,0.0,23,1279,0
20f8e1d0,0.0,23,0,0
67179bf5,0.0,23,0,0
fbcaa054,0.0,23,0,0
20e00979,0.0,23,0,0
20e00979,0.0,23,0,0
ad4965df,0.0,14,0,0
24476cae,0.0,14,0,0
0a904115,0.0,14,0,0
b86b05a2,0.0,14,0,0
43831509,0.0,14,0,0
2ae213b3,0.0,14,0,0
e1113dd7,0.0,14,0,0
0af049cf,0.0,34,0,0
74d9bcb4,0.0,34,0,0
9fa70c70,0.0,11,0,0
44d10297,0.0,11,0,0
95368163,0.0,11,0,0
0ed65356,0.0,11,0,0
a1481a8f,0.0,11,0,0
690518f8,0.0,11,0,0
0576426d,0.0,11,0,0
61246475,0.0,11,1261,0
c9707e89,0.0,11,0,0
f7f918b1,0.0,11,0,0
26719ab2,0.0,11,0,0
3d7e6e87,0.0,11,0,0
b8fc14c7,0.0,11,0,0
8dcc1587,0.0,11,0,0
df33f0e3,0.0,11,0,0
4667a258,0.0,11,0,0
b31e24c2,0.0,11,0,0
970f4258,0.0,11,0,0
a53d05a2,0.0,11,0,0
c058ccd2,0.0,11,0,0
98f39fc5,0.0,11,0,0
b1aec1bc,0.0,11,0,0
4ba028dd,0.0,11,0,0
84d9142c,0.0,11,0,0
ec869e95,0.0,11,0,0
44d4adaa,0.0,11,0,0
d366a589,0.0,11,0,0
0332b76f,0.0,11,0,0
72ef9e1f,0.0,26,1143,0
1fcbdf5a,0.0,26,1232,0
891266d7,0.0,26,1097,0
f033097d,0.0,26,1069,0
56e3d123,0.0,26,1196,0
e36ca649,0.0,26,1098,0
eb6faf0b,0.0,26,1097,0
84660141,0.0,10,0,0
69a2d737,0.0,10,0,0
ae26dc3a,0.0,10,0,0
7532565b,0.0,10,0,0
99ebaccc,0.0,10,0,0
096b24ba,0.0,10,0,0
c66f6409,0.0,10,0,0
5596ff74,0.0,10,0,0
b1eec882,0.0,10,0,0
a85d8f93,0.0,10,0,0
3c20650e,0.0,10,0,0
60a067ec,0.0,10,0,0
083143ed,0.0,10,0,0
e3ca118c,0.0,10,0,0
54257585,0.0,10,0,0
68568674,0.0,10,0,0
2e8868ae,0.0,10,0,0
6f47e3cf,0.0,10,0,0
e69ef8c0,0.0,34,0,0
f2f968f5,0.0,23,1097,0
9888e16a,0.0,8,0,0
416ae59b,0.0,8,0,0
8b5671cf,0.0,8,0,0
0868730c,0.0,8,0,0
3c719bfb,0.0,8,0,0
3c719bfb,0.0,8,0,0
d20673f1,0.0,8,0,0
66ca8575,0.0,8,0,0
5fb9998c,0.0,8,0,0
a4559a8a,0.0,8,0,0
792d09fc,0.0,8,0,0
a85ae79c,0.0,8,0,0
08a54c39,0.0,8,0,0
ac0acb50,0.0,32,0,0
0c82864b,0.0,32,0,0
9e5bff5c,0.0,15,1139,0
28142b53,0.0,15,0,0
47457a95,0.0,15,1230,0
d3a56361,0.0,15,1354,0
6a58577c,0.0,35,0,0
6540a1b5,0.0,35,1223,0
0048665b,0.0,35,0,0
70018571,0.0,35,1223,0
33dfe288,0.0,35,1223,0
74d3d16e,0.0,27,0,0
f65051f6,0.0,12,0,0
97f2023b,0.0,12,0,0
9ae1fe9f,0.0,29,0,0
8497f281,0.0,25,0,0
a46e915e,0.0,25,0,0
a17ec605,0.0,25,0,0
a9080017,0.0,25,0,0
b6d353ef,0.0,25,0,0
46587524,0.0,25,0,0
d34168fb,0.0,25,0,0
eb88e556,0.0,25,0,0
1451e0b4,0.0,25,0,0
01935f38,0.0,25,0,0
1533c2e8,0.0,25,0,0
ecf6d35c,0.0,25,0,0
da5b6f26,0.0,25,0,0
f0ebaf0b,0.0,25,0,0
0abaa336,0.0,25,0,0
d1099736,0.0,25,0,0
32caa307,0.0,25,0,0
76243f0f,0.0,25,0,0
f4ea5474,0.0,25,0,0
abaa17a5,0.0,25,0,0
